구명,읍면동명,선거인수,투표수,유효득표수,1위정당,1위후보,1위득표수,1위득표율,무효투표수,기권자수,더불어민주당_정원오_득표수,국민의힘_오세훈_득표수,개혁신당_김정철_득표수,여성의당_유지혜_득표수,정의당_권영국_득표수
서초구,서초1동,16522,10029,9952,국민의힘,오세훈,6426,64.5699,77,6493,3271,6426,102,69,84
서초구,서초2동,19821,12207,12111,국민의힘,오세훈,8366,69.0777,96,7614,3495,8366,103,68,79
서초구,서초3동,26459,15801,15703,국민의힘,오세훈,10153,64.6564,98,10658,5205,10153,136,102,107
서초구,서초4동,22503,14422,14351,국민의힘,오세훈,10925,76.1271,71,8081,3171,10925,95,84,76
서초구,잠원동,26695,17529,17448,국민의힘,오세훈,12823,73.4927,81,9166,4302,12823,107,101,115
서초구,반포본동,233,141,141,국민의힘,오세훈,88,62.4113,0,92,50,88,1,1,1
서초구,반포1동,25557,14978,14893,국민의힘,오세훈,10466,70.2746,85,10579,4175,10466,83,73,96
서초구,반포2동,19736,13657,13598,국민의힘,오세훈,10587,77.857,59,6079,2795,10587,78,74,64
서초구,반포3동,18160,12281,12226,국민의힘,오세훈,9120,74.5951,55,5879,2883,9120,84,68,71
서초구,반포4동,13817,8587,8539,국민의힘,오세훈,6061,70.9802,48,5230,2313,6061,57,46,62
서초구,방배본동,15971,10498,10415,국민의힘,오세훈,6915,66.3946,83,5473,3320,6915,56,59,65
서초구,방배1동,13310,8599,8525,국민의힘,오세훈,5326,62.4751,74,4711,2978,5326,75,63,83
서초구,방배2동,14455,9599,9519,국민의힘,오세훈,5558,58.3885,80,4856,3739,5558,82,69,71
서초구,방배3동,12286,8180,8133,국민의힘,오세훈,5506,67.6995,47,4106,2467,5506,57,48,55
서초구,방배4동,20321,13111,12994,국민의힘,오세훈,8057,62.0055,117,7210,4647,8057,89,87,114
서초구,양재1동,31433,20080,19908,국민의힘,오세훈,11411,57.3187,172,11353,8069,11411,146,131,151
서초구,양재2동,17821,10937,10826,국민의힘,오세훈,5523,51.0161,111,6884,5009,5523,118,76,100
서초구,내곡동,13171,8863,8768,국민의힘,오세훈,5141,58.6337,95,4308,3472,5141,43,48,64
강남구,신사동,12472,7608,7568,국민의힘,오세훈,5856,77.3784,40,4864,1617,5856,33,35,27
강남구,논현1동,18335,7850,7786,국민의힘,오세훈,4747,60.9684,64,10485,2873,4747,61,57,48
강남구,논현2동,17002,8344,8261,국민의힘,오세훈,5630,68.1516,83,8658,2468,5630,49,58,56
강남구,압구정동,20311,12753,12688,국민의힘,오세훈,10757,84.7809,65,7558,1756,10757,69,51,55
강남구,청담동,21315,12086,11999,국민의힘,오세훈,9091,75.7646,87,9229,2709,9091,75,66,58
강남구,삼성1동,10569,6270,6220,국민의힘,오세훈,4605,74.0354,50,4299,1521,4605,39,22,33
강남구,삼성2동,24145,14062,13974,국민의힘,오세훈,9590,68.6275,88,10083,4089,9590,102,103,90
강남구,대치1동,16884,11159,11111,국민의힘,오세훈,8834,79.5068,48,5725,2081,8834,92,64,40
강남구,대치2동,27816,17896,17806,국민의힘,오세훈,13386,75.1769,90,9920,4088,13386,142,82,108
강남구,대치4동,15004,7727,7661,국민의힘,오세훈,4491,58.6216,66,7277,2968,4491,78,67,57
강남구,역삼1동,29986,12851,12714,국민의힘,오세훈,7504,59.0216,137,17135,4832,7504,155,129,94
